instrument_short,datetime,change,vol,turnover_rate,volume_ratio,factor_x
1988.SH,2007-01-04,0.2,7281333.33,16.8115,1.67,5.63
1988.SH,2007-01-05,-0.56,7867306.84,15.1068,1.6,-0.5599999991097713
1988.SH,2007-01-08,0.01,5565756.49,10.6874,0.97,-0.007896006092086516
1988.SH,2007-01-09,0.1,4334458.33,8.323,0.68,0.05744397746353602
1988.SH,2007-01-10,-0.08,3721171.25,7.1454,0.59,-0.07579339642643923
1988.SH,2007-01-11,-0.17,3274026.49,6.2868,0.57,-0.1650916969230405
1988.SH,2007-01-12,-0.2,2329178.87,4.4725,0.47,-0.21197748453534704
1988.SH,2007-01-15,0.26,2487325.37,4.7762,0.65,0.24009570128151658
1988.SH,2007-01-16,-0.05,2595924.95,4.9847,0.8,-0.05637607534342681
1988.SH,2007-01-17,-0.06,2372504.49,4.5557,0.82,-0.04180237334345538
1988.SH,2007-01-18,-0.12,2036686.05,3.9108,0.78,-0.1258946823385001
1988.SH,2007-01-19,0.09,1769176.83,3.3972,0.75,0.08127492640878486
1988.SH,2007-01-22,0.17,3173484.46,6.0937,1.41,0.1639036044645481
1988.SH,2007-01-23,0.1,3452102.25,6.6287,1.44,0.11274355730661156
1988.SH,2007-01-24,-0.08,2447169.82,4.6991,0.96,-0.06353623208329928
1988.SH,2007-01-25,-0.25,2121921.49,4.0745,0.82,-0.2450916969272292
1988.SH,2007-01-26,0.06,2358565.88,4.5289,0.91,0.04527009082314315
1988.SH,2007-01-29,0.15,2801972.7,5.3803,1.03,0.13291249919511294
1988.SH,2007-01-30,-0.04,2600923.77,4.9943,0.99,-0.030242767168150664
1988.SH,2007-01-31,0.0,6066305.05,11.6485,2.46,0.010114879250847864
1988.SH,2007-02-01,-0.11,2574337.5,4.9432,0.81,-0.1130642910857853
1988.SH,2007-02-02,-0.19,2370241.23,4.5513,0.72,-0.19378458388232556
1988.SH,2007-02-05,-0.24,1966341.64,3.7758,0.6,-0.25496380900992666
1988.SH,2007-02-06,0.19,1733065.44,3.3278,0.56,0.16718734341744668
1988.SH,2007-02-07,0.04,2035883.07,3.9093,0.69,0.028151262009307843
1988.SH,2007-02-08,-0.05,1035017.82,1.9874,0.48,-0.034068405021676185
1988.SH,2007-02-09,-0.06,1081537.22,2.0768,0.59,-0.05865597431527192
1988.SH,2007-02-12,0.1,1032313.56,1.9822,0.66,0.09410531766149965
1988.SH,2007-02-13,0.0,972702.57,1.8678,0.7,-0.0011559058265628863
1988.SH,2007-02-14,0.11,1734879.77,3.3313,1.41,0.11766072771446279
1988.SH,2007-02-15,0.19,2563730.54,4.9229,2.19,0.19378458388232644
1988.SH,2007-02-16,0.01,2528834.0,4.8559,1.71,0.02496380900992623
1988.SH,2007-02-26,0.03,2145777.6,4.1203,1.21,0.044899435737690396
1988.SH,2007-02-27,-0.36,2948782.67,5.6622,1.48,-0.3582017679879197
1988.SH,2007-02-28,0.17,1733240.21,3.3282,0.73,0.15991230742672613
1988.SH,2007-03-01,-0.13,1353844.08,2.5996,0.57,-0.15172971740846997
1988.SH,2007-03-02,0.05,995587.82,1.9117,0.46,0.058550547071837045
1988.SH,2007-03-05,-0.03,1176291.87,2.2587,0.64,-0.03823868062774416
1988.SH,2007-03-06,0.16,2251768.09,4.3238,1.37,0.162798204616597
1988.SH,2007-03-07,0.02,1702601.0,3.2693,1.13,0.023206630969045072
1988.SH,2007-03-08,0.02,1314340.13,2.5238,0.88,0.03294527050356244
1988.SH,2007-03-09,0.16,4556638.18,8.7497,3.06,0.16222025170331555
1988.SH,2007-03-12,0.04,3143081.42,6.0353,1.43,0.04703699482627588
1988.SH,2007-03-13,-0.05,1916575.01,3.6802,0.74,-0.03636662333601404
1988.SH,2007-03-14,-0.12,1720108.42,3.303,0.68,-0.11865597431527242
1988.SH,2007-03-15,0.07,1424594.26,2.7355,0.56,0.06204099918023154
1988.SH,2007-03-16,0.02,2823527.78,5.4217,1.11,0.013215498304124829
1988.SH,2007-03-19,0.29,4129920.75,7.9303,1.87,0.2960506155605467
1988.SH,2007-03-20,0.0,2072982.41,3.9805,0.86,0.011509684869024817
1988.SH,2007-03-21,0.02,2187388.47,4.2002,0.9,0.04221611037194073
1988.SH,2007-03-22,-0.07,2288567.92,4.3945,0.91,-0.06931189383957648
1988.SH,2007-03-23,-0.04,2085987.67,4.0055,0.77,-0.04087622601858776
1988.SH,2007-03-26,0.02,1992180.2,3.8254,0.78,0.013261278279030009
1988.SH,2007-03-27,-0.04,2220792.45,4.2644,1.04,-0.042376184925362104
1988.SH,2007-03-28,0.15,4367971.68,8.3874,2.03,0.150155933222047
1988.SH,2007-03-29,0.34,7438492.3,14.2834,2.87,0.34209650511738676
1988.SH,2007-03-30,-0.12,3433943.13,6.5939,0.95,-0.09681110370111679
1988.SH,2007-04-02,0.1,2260526.42,4.3407,0.58,0.12191783726663541
1988.SH,2007-04-03,0.04,2177036.75,4.1803,0.55,0.03424765754475967
1988.SH,2007-04-04,-0.06,1997141.86,3.8349,0.51,-0.05096305996469219
1988.SH,2007-04-05,0.06,2152706.93,4.1336,0.62,0.06099997260451673
1988.SH,2007-04-06,-0.06,1875604.45,3.6015,0.78,-0.06253211814740922
1988.SH,2007-04-09,0.04,2409118.27,4.626,1.15,0.04253211814740876
1988.SH,2007-04-10,0.21,4565269.86,8.7662,2.15,0.20677977569216832
1988.SH,2007-04-11,0.0,3499464.23,6.7197,1.35,0.010289405770225635
1988.SH,2007-04-12,-0.05,3255847.89,6.2519,1.12,-0.03391247179962864
1988.SH,2007-04-13,-0.07,2749559.82,5.2797,0.88,-0.07172026540105758
1988.SH,2007-04-16,0.06,2297867.95,4.4124,0.7,0.05376126458128905
1988.SH,2007-04-17,-0.07,2775513.09,5.3295,0.85,-0.07329819091885525
1988.SH,2007-04-18,-0.08,2560773.29,4.9172,0.88,-0.0778119349328028
1988.SH,2007-04-19,-0.25,3128340.26,6.007,1.15,-0.2581149340418154
1988.SH,2007-04-20,0.1,2151690.35,4.1317,0.8,0.08527009082314319
1988.SH,2007-04-23,0.13,3297893.79,6.3326,1.28,0.11428871151595921
1988.SH,2007-04-24,-0.06,2836387.56,5.4464,1.02,-0.04786658224278906
1988.SH,2007-04-25,0.17,4183215.27,8.0326,1.5,0.17789462754753238
1988.SH,2007-04-26,-0.02,2344574.12,4.502,0.75,-0.018747534265082244
1988.SH,2007-04-27,-0.12,2174418.8,4.1753,0.73,-0.10766486904583683
1988.SH,2007-04-30,0.0,2116131.17,4.0634,0.71,-0.0056607825054300065
1988.SH,2007-05-08,0.04,2732546.97,5.247,1.0,0.030807126742645075
1988.SH,2007-05-09,0.44,7699752.85,14.7851,2.84,0.44137621232084534
1988.SH,2007-05-10,0.04,5016060.59,9.6318,1.47,0.05820262661508924
1988.SH,2007-05-11,-0.05,3170976.81,6.0889,0.8,-0.014916585735520016
1988.SH,2007-05-14,0.04,2721419.61,5.2257,0.66,0.041344025684727725
1988.SH,2007-05-15,-0.28,3290134.9,6.3177,0.77,-0.28245415153638564
1988.SH,2007-05-16,0.05,1895449.88,3.6396,0.43,0.043430804839864834
1988.SH,2007-05-17,0.01,2157118.58,4.1421,0.67,-0.009729772199437825
1988.SH,2007-05-18,-0.1,2043485.33,3.9239,0.77,-0.09582558306255784
1988.SH,2007-05-21,-0.06,2161746.25,4.151,0.89,-0.06267445803066796
1988.SH,2007-05-22,0.01,2228664.19,4.2795,0.96,0.00027495380426856286
1988.SH,2007-05-23,0.07,2253422.2,4.327,1.07,0.06574761645153426
1988.SH,2007-05-24,0.05,2933976.7,5.6338,1.35,0.053174444332926285
1988.SH,2007-05-25,-0.08,2219261.22,4.2614,0.95,-0.07291722519881905
1988.SH,2007-05-28,0.04,2389856.22,4.589,1.01,0.041077939215539594
1988.SH,2007-05-29,0.06,2863327.25,5.4982,1.19,0.05524763014927636
1988.SH,2007-05-30,-0.42,3569304.81,6.8538,1.41,-0.4148713904329462
1988.SH,2007-05-31,0.25,3287449.23,6.3126,1.18,0.24014620725979618
1988.SH,2007-06-01,-0.11,2593710.85,4.9804,0.91,-0.1335737293954562
1988.SH,2007-06-04,-0.52,2791122.14,5.3595,0.95,-0.5046327645961703
1988.SH,2007-06-05,0.09,2319598.6,4.4541,0.77,0.06368243934309614
1988.SH,2007-06-06,-0.02,1479568.72,2.8411,0.51,-0.05673930639330127
1988.SH,2007-06-07,0.03,1673240.02,3.213,0.67,0.03620654878259355
1988.SH,2007-06-08,-0.04,1371158.87,2.6329,0.63,-0.04049998630225815
1988.SH,2007-06-11,0.05,1462420.41,2.8081,0.76,0.050922005993492725
1988.SH,2007-06-12,-0.01,1610322.88,3.0921,0.97,-0.011344025684727477
1988.SH,2007-06-13,0.2,2874827.31,5.5202,1.89,0.20348631077701995
1988.SH,2007-06-14,-0.13,1480755.83,2.8433,0.82,-0.12388501116721784
1988.SH,2007-06-15,0.02,1076902.63,2.0679,0.61,0.030848765386176424
1988.SH,2007-06-18,0.07,1710578.88,3.2847,1.01,0.060729160131621995
1988.SH,2007-06-19,-0.01,1431118.55,2.748,0.82,-0.006059482895627966
1988.SH,2007-06-20,-0.13,1436595.4,2.7585,0.84,-0.12498154368008763
1988.SH,2007-06-21,0.01,1017788.47,1.9544,0.71,0.004761237185805456
1988.SH,2007-06-22,-0.14,1281784.28,2.4613,0.96,-0.14961489294859032
1988.SH,2007-06-25,-0.08,1245669.81,2.3919,0.91,-0.08405067035151426
1988.SH,2007-06-26,0.02,994258.23,1.9092,0.78,0.006522556558061332
1988.SH,2007-06-27,0.08,1203053.01,2.3101,1.01,0.07455952398885302
1988.SH,2007-06-28,-0.1,1395468.43,2.6796,1.22,-0.09571542981541636
1988.SH,2007-06-29,0.01,1053208.95,2.0224,0.86,0.012688051369455167
1988.SH,2007-07-02,0.03,719802.65,1.3822,0.61,0.02268332536574924
1988.SH,2007-07-03,0.09,861875.94,1.655,0.8,0.05179823201208045
1988.SH,2007-07-04,-0.08,717959.05,1.3786,0.69,-0.07598151628460403
1988.SH,2007-07-05,-0.16,883403.13,1.6963,0.93,-0.1589220607844597
1988.SH,2007-07-06,0.13,809876.93,1.5551,0.96,0.11836656854504657
1988.SH,2007-07-09,0.08,1216401.65,2.3357,1.52,0.0722155256996091
1988.SH,2007-07-10,0.03,1566917.58,3.0088,1.75,0.042711370670492244
1988.SH,2007-07-11,0.08,1088853.33,2.0908,1.05,0.08716074141220442
1988.SH,2007-07-12,-0.01,533914.01,1.0252,0.48,-0.004949357043969371
1988.SH,2007-07-13,-0.04,371672.69,0.7137,0.36,-0.03421547090864152
1988.SH,2007-07-16,-0.1,365360.99,0.7016,0.38,-0.10214228509229173
1988.SH,2007-07-17,0.1,447230.79,0.8588,0.57,0.09349517811210006
1988.SH,2007-07-18,0.03,837284.52,1.6078,1.49,0.025779803087652375
1988.SH,2007-07-19,-0.02,538324.36,1.0337,1.05,-0.011307113044903616
1988.SH,2007-07-20,0.15,1890495.75,3.6301,3.69,0.15161011215391618
1988.SH,2007-07-23,0.12,2512160.49,4.8238,3.08,0.1236286506602795
1988.SH,2007-07-24,-0.05,1467606.7,2.8181,1.18,-0.03438027146576861
1988.SH,2007-07-25,0.13,1471525.37,2.8256,1.02,0.13747260785629756
1988.SH,2007-07-26,-0.03,1224514.71,2.3513,0.78,-0.02935767381448251
1988.SH,2007-07-27,-0.06,1050047.12,2.0163,0.61,-0.05107321321183278
1988.SH,2007-07-30,0.06,1410953.4,2.7093,0.91,0.05563746320439211
1988.SH,2007-07-31,-0.03,1076321.66,2.0668,0.81,-0.03253211814740897
1988.SH,2007-08-01,-0.14,1688640.89,3.2425,1.35,-0.13643572261195658
1988.SH,2007-08-02,0.02,1000268.27,1.9207,0.78,0.012885038562700402
1988.SH,2007-08-03,0.15,2055742.97,3.9474,1.65,0.13996308736017582
1988.SH,2007-08-06,0.01,1655529.9,3.1789,1.14,0.01669294174606417
1988.SH,2007-08-07,-0.03,1341941.96,2.5768,0.9,-0.0181648553480942
1988.SH,2007-08-08,0.41,6156168.75,11.8211,3.98,0.4097339135308111
1988.SH,2007-08-09,-0.03,3768096.05,7.2355,1.54,-0.018192042025668265
1988.SH,2007-08-10,-0.01,2524596.16,4.8477,0.84,0.020376824388661063
1988.SH,2007-08-13,0.5,6322413.89,12.1403,2.05,0.4973577286054498
1988.SH,2007-08-14,-0.11,2993256.96,5.7476,0.74,-0.09356341876087271
1988.SH,2007-08-15,-0.01,2464159.56,4.7317,0.57,0.024519054689986497
1988.SH,2007-08-16,-0.24,2457981.98,4.7198,0.68,-0.24877085356612127
1988.SH,2007-08-17,-0.19,1878450.57,3.607,0.56,-0.19902334669652166
1988.SH,2007-08-20,0.34,2440068.93,4.6854,0.76,0.3150772449612722
1988.SH,2007-08-21,0.09,4145526.69,7.9602,1.69,0.08714242206971168
1988.SH,2007-08-22,-0.1,2447066.41,4.6989,0.91,-0.07085704804892501
1988.SH,2007-08-23,0.01,2425692.29,4.6578,0.91,0.013454124140901413
1988.SH,2007-08-24,0.06,2701279.56,5.187,1.01,0.05268332536574949
1988.SH,2007-08-27,0.04,2475673.83,4.7538,0.87,0.04283039125271504
1988.SH,2007-08-28,-0.11,1782803.54,3.4233,0.63,-0.104027351050477
1988.SH,2007-08-29,-0.15,1800791.34,3.4579,0.76,-0.15072029279654053
1988.SH,2007-08-30,0.08,1343873.44,2.5805,0.6,0.06641240331091858
1988.SH,2007-08-31,0.02,1273245.24,2.4449,0.63,0.011261333069998436
1988.SH,2007-09-03,0.07,2082671.29,3.9991,1.2,0.07681668833199318
1988.SH,2007-09-04,0.01,1601845.35,3.0759,0.97,0.013940517104372496
1988.SH,2007-09-05,0.08,1955941.75,3.7558,1.21,0.08570656248033526
1988.SH,2007-09-06,0.19,3447933.66,6.6207,2.09,0.19351849741313742
1988.SH,2007-09-07,-0.2,3135678.19,6.0211,1.51,-0.1873344093044116
1988.SH,2007-09-10,-0.01,1770282.98,3.3993,0.72,-0.002325678946751175
1988.SH,2007-09-11,-0.27,1753907.89,3.3679,0.74,-0.28566550850913597
1988.SH,2007-09-12,0.0,1165247.98,2.2375,0.48,-0.010055505937155651
1988.SH,2007-09-13,0.04,928073.92,1.7821,0.41,0.019316035170951373
1988.SH,2007-09-14,0.03,1009449.67,1.9383,0.58,0.031376212320846086
1988.SH,2007-09-17,0.02,1514887.63,2.9089,1.14,0.02409645032641894
1988.SH,2007-09-18,0.0,1745035.38,3.3508,1.37,0.002986324474761659
1988.SH,2007-09-19,-0.06,821733.65,1.5779,0.65,-0.058467854457107116
1988.SH,2007-09-20,0.02,991299.34,1.9035,0.82,0.017935681518730817
1988.SH,2007-09-21,-0.01,1058667.57,2.0329,0.87,-0.013908330468254348
1988.SH,2007-09-24,-0.01,777505.43,1.493,0.63,-0.008811907537318753
1988.SH,2007-09-25,-0.1,999115.18,1.9185,0.93,-0.10111012585165824
1988.SH,2007-09-26,-0.08,712150.75,1.3675,0.77,-0.08420660357356091
1988.SH,2007-09-27,0.11,772259.45,1.4829,0.85,0.09958684764384618
1988.SH,2007-09-28,0.06,1056230.66,2.0282,1.22,0.05765600171075569
1988.SH,2007-10-08,0.37,4848363.74,9.3098,5.62,0.3804911189671776
1988.SH,2007-10-09,-0.07,2410650.88,4.6289,1.44,-0.05267359940349792
1988.SH,2007-10-10,0.22,5163713.19,9.9154,2.63,0.24593632098203067
1988.SH,2007-10-11,0.21,3864658.79,7.4209,1.36,0.21220665836452834
1988.SH,2007-10-12,-0.18,3008974.11,5.7778,0.87,-0.15592128434374164
1988.SH,2007-10-15,0.06,2479321.25,4.7608,0.64,0.06989457275656452
1988.SH,2007-10-16,0.5,6479018.67,12.441,1.91,0.4882750085952363
1988.SH,2007-10-17,-0.09,2678360.04,5.143,0.64,-0.0682009093607494
1988.SH,2007-10-18,-0.26,2251608.84,4.3235,0.61,-0.22479283914959147
1988.SH,2007-10-19,0.05,1672656.49,3.2118,0.49,0.03415996497148566
1988.SH,2007-10-22,-0.21,1112759.5,2.1367,0.36,-0.22819762665654508
1988.SH,2007-10-23,0.26,2191274.79,4.2077,0.77,0.2566052491727904
1988.SH,2007-10-24,-0.1,2495936.78,4.7927,1.26,-0.10714214811487288
1988.SH,2007-10-25,-0.24,1845231.32,3.5432,0.95,-0.2235226387445124
1988.SH,2007-10-26,0.17,1479943.87,2.8418,0.79,0.15408199836046244
1988.SH,2007-10-29,0.27,2151400.9,4.1311,1.18,0.25746315584888446
1988.SH,2007-10-30,0.28,2899022.14,5.5667,1.43,0.30231267028029585
1988.SH,2007-10-31,-0.03,2734901.65,5.2516,1.26,0.00031745107496927716
1988.SH,2007-11-01,0.34,4338198.84,8.3302,1.95,0.3604178783598613
1988.SH,2007-11-02,0.0,3038898.06,5.8353,1.12,0.00939958641285088
1988.SH,2007-11-05,-0.29,2066587.69,3.9683,0.68,-0.26395352577082765
1988.SH,2007-11-06,-0.09,1109847.85,2.1311,0.37,-0.09997753932613307
1988.SH,2007-11-07,0.27,1390500.01,2.67,0.52,0.24468741190615617
1988.SH,2007-11-08,-0.28,1356642.92,2.605,0.57,-0.27760522177730707
1988.SH,2007-11-09,0.1,1574144.86,3.0227,0.88,0.11105047858312833
1988.SH,2007-11-12,-0.13,1714035.79,3.2913,1.14,-0.1480095067983811
1988.SH,2007-11-13,-0.12,1552636.26,2.9814,1.09,-0.11681196232828572
1988.SH,2007-11-14,0.21,1580968.47,3.0358,1.04,0.19591241700866124
1988.SH,2007-11-15,0.0,1480494.18,2.8428,0.95,-0.0019677585729143132
1988.SH,2007-11-16,-0.07,776262.71,1.4906,0.49,-0.0539124717996291
1988.SH,2007-11-19,-0.1,1248153.43,2.3967,0.88,-0.10240837156147986
1988.SH,2007-11-20,0.01,1194141.77,2.293,0.9,0.0011969597977614654
1988.SH,2007-11-21,-0.15,1008445.49,1.9364,0.8,-0.15731667463425136
1988.SH,2007-11-22,-0.23,1094869.82,2.1024,0.96,-0.23439472343172518
1988.SH,2007-11-23,0.09,584337.98,1.122,0.55,0.07059568758344259
1988.SH,2007-11-26,-0.07,644337.0,1.2373,0.63,-0.08452319602136082
1988.SH,2007-11-27,-0.1,543586.26,1.0438,0.6,-0.09551371661846364
1988.SH,2007-11-28,-0.25,1302754.55,2.5015,1.68,-0.2588030402022383
1988.SH,2007-11-29,0.3,1231781.39,2.3653,1.48,0.28373794528025087
1988.SH,2007-11-30,-0.13,652673.63,1.2533,0.76,-0.13883022687981228
1988.SH,2007-12-03,0.04,428988.2,0.8237,0.49,0.058509493100638466
1988.SH,2007-12-04,0.09,589571.55,1.1321,0.71,0.08141726629204449
1988.SH,2007-12-05,0.12,748818.98,1.4379,0.89,0.12616076880768823
1988.SH,2007-12-06,-0.04,441077.98,0.847,0.6,-0.028976708094446302
1988.SH,2007-12-07,0.03,461250.49,0.8857,0.81,0.03781666093650937
1988.SH,2007-12-10,0.0,1052928.46,2.0218,1.97,-0.0020321318451506087
1988.SH,2007-12-11,-0.03,782711.84,1.503,1.19,-0.02770178168566151
1988.SH,2007-12-12,-0.09,742203.87,1.4252,1.06,-0.09103215924063424
1988.SH,2007-12-13,-0.13,794577.37,1.5257,1.14,-0.13539469603624177
1988.SH,2007-12-14,0.04,780234.96,1.4982,1.02,0.028632655014234842
1988.SH,2007-12-17,-0.21,1190910.44,2.2868,1.43,-0.21858273370795622
1988.SH,2007-12-18,0.0,620773.77,1.192,0.72,-0.004160823598655661
1988.SH,2007-12-19,0.13,468235.01,0.8991,0.57,0.1139124717996296
1988.SH,2007-12-20,0.03,521376.76,1.0011,0.68,0.03447269004274833
1988.SH,2007-12-21,0.06,687243.46,1.3196,0.96,0.07099110526943608
1988.SH,2007-12-24,0.1,1078189.21,2.0703,1.55,0.10436253679560714
1988.SH,2007-12-25,-0.05,666947.72,1.2807,0.99,-0.04196303256920775
1988.SH,2007-12-26,-0.01,875144.65,1.6805,1.28,-0.0040595376865946164
1988.SH,2007-12-27,0.12,1668964.15,3.2047,2.18,0.11582558306255741
1988.SH,2007-12-28,-0.04,1077453.43,2.0689,1.08,-0.03663743580890877
1988.SH,2008-01-02,0.03,1028825.46,1.9755,0.96,0.037816660936508484
1988.SH,2008-01-03,0.03,1282956.69,2.4635,1.21,0.02796786815484964
1988.SH,2008-01-04,0.0,1127873.09,2.1657,0.95,0.0033303775549731185
1988.SH,2008-01-07,-0.02,1251124.11,1.9267,1.01,-0.017701781685660833
1988.SH,2008-01-08,0.05,1626738.48,2.5052,1.41,0.049311893839576904
1988.SH,2008-01-09,-0.01,960143.45,1.4786,0.76,-0.009811880141834983
1988.SH,2008-01-10,-0.02,1228616.97,1.8921,0.98,-0.016513689222980688
1988.SH,2008-01-11,0.24,2276737.32,3.5062,1.84,0.23854582106813105
1988.SH,2008-01-14,-0.01,1325289.92,2.0409,0.9,-0.0032748716178172543
1988.SH,2008-01-15,-0.13,1265888.04,1.9495,0.85,-0.11195830656550232
1988.SH,2008-01-16,-0.18,1531417.69,2.3584,1.09,-0.18523876281419493
1988.SH,2008-01-17,-0.11,1311114.72,2.0191,0.86,-0.1261519014726069
1988.SH,2008-01-18,0.04,734045.78,1.1304,0.48,0.022426106231640652
1988.SH,2008-01-21,-0.27,1187310.94,1.8285,0.96,-0.27705058816506245
1988.SH,2008-01-23,-0.18,2305541.16,3.5505,1.91,-0.18622514207992413
1988.SH,2008-01-24,-0.19,1730132.5,2.6644,1.22,-0.21687692027285532
1988.SH,2008-01-25,0.09,1105659.48,1.7027,0.76,0.06967368158994969
1988.SH,2008-01-28,-0.41,993409.43,1.5299,0.7,-0.4214589049355757
1988.SH,2008-01-29,0.05,590051.04,0.9087,0.4,0.042788478654347095
1988.SH,2008-01-30,-0.08,779253.71,1.2001,0.58,-0.10968871822823889
1988.SH,2008-01-31,-0.11,640871.62,0.9869,0.62,-0.10892206078446076
1988.SH,2008-02-01,-0.08,849309.48,1.3079,1.03,-0.0899131660538961
1988.SH,2008-02-04,0.37,1229192.13,1.893,1.6,0.3588207748723997
1988.SH,2008-02-05,-0.06,609614.74,0.9388,0.75,-0.053398618203745585
1988.SH,2008-02-13,-0.09,379638.19,0.5846,0.46,-0.06371962593775837
1988.SH,2008-02-14,0.07,306792.24,0.4725,0.41,0.06230708564941967
1988.SH,2008-02-15,-0.07,314493.92,0.4843,0.47,-0.07448628338153629
1988.SH,2008-02-18,0.07,425044.68,0.6546,0.75,0.0729541378386438
1988.SH,2008-02-19,0.16,735761.59,1.1331,1.81,0.15704586216135663
1988.SH,2008-02-20,-0.14,1024539.64,1.5778,2.37,-0.1291326413164926
1988.SH,2008-02-21,-0.05,555521.94,0.8555,0.99,-0.042559578779821194
1988.SH,2008-02-22,-0.09,562734.1,0.8666,0.92,-0.10244528420130461
1988.SH,2008-02-25,-0.13,403994.12,0.6222,0.61,-0.13692684157913426
1988.SH,2008-02-26,0.13,391990.53,0.6037,0.6,0.1186326550142347
1988.SH,2008-02-27,0.11,472241.19,0.7273,0.8,0.10451374401394808
1988.SH,2008-02-28,-0.07,268170.79,0.413,0.56,-0.05625647008887302
1988.SH,2008-02-29,0.0,363828.4,0.5603,0.87,0.006018428924428498
1988.SH,2008-03-03,0.06,482455.25,0.743,1.27,0.05463749059987677
1988.SH,2008-03-04,-0.09,520716.32,0.8019,1.32,-0.08793568151873199
1988.SH,2008-03-05,0.02,396202.12,0.6102,0.94,0.021499958906774808
1988.SH,2008-03-06,0.08,731603.43,1.1267,1.8,0.07379345121740677
1988.SH,2008-03-07,-0.07,331302.02,0.5102,0.66,-0.06571542981541612
1988.SH,2008-03-10,-0.12,446685.71,0.6879,0.91,-0.11627978938991035
1988.SH,2008-03-11,0.04,259180.79,0.3991,0.53,0.030508853637338795
1988.SH,2008-03-12,-0.09,384990.96,0.5929,0.89,-0.09781666093650898
1988.SH,2008-03-13,-0.1,529423.78,0.8153,1.23,-0.10003218663611779
1988.SH,2008-03-14,-0.08,400413.12,0.6166,1.03,-0.09033518574513089
1988.SH,2008-03-17,-0.14,402060.93,0.6192,0.99,-0.1504131523561547
1988.SH,2008-03-18,-0.14,587428.7,0.9046,1.49,-0.15094532529453009
1988.SH,2008-03-19,0.11,647528.26,0.9972,1.41,0.09445823807679243
1988.SH,2008-03-20,0.03,753229.94,1.16,1.47,0.02305956508207796
1988.SH,2008-03-21,-0.01,630106.43,0.9704,1.13,-0.0005410402734566944
1988.SH,2008-03-24,-0.1,418615.83,0.6447,0.69,-0.09804583476587236
1988.SH,2008-03-25,0.06,400900.59,0.6174,0.66,0.05579339642643877
1988.SH,2008-03-26,0.01,357239.96,0.5501,0.63,0.004403590766806076
1988.SH,2008-03-27,-0.1,348855.2,0.5372,0.68,-0.0950595102911107
1988.SH,2008-03-28,0.19,1333377.26,2.0534,3.09,0.18732554196933204
1988.SH,2008-03-31,-0.1,489386.67,0.7537,0.86,-0.10112371919044527
1988.SH,2008-04-01,-0.12,587446.31,0.9047,1.0,-0.10888514814463601
1988.SH,2008-04-02,0.15,1242535.32,1.9135,1.99,0.13821063532300037
1988.SH,2008-04-03,0.11,748900.51,1.1533,0.94,0.10596792294581725
1988.SH,2008-04-07,0.09,876384.26,1.3496,1.0,0.10527567545401961
1988.SH,2008-04-08,-0.05,641259.17,0.9875,0.81,-0.03847672179218797
1988.SH,2008-04-09,-0.2,616833.56,0.9499,0.75,-0.19482561045804125
1988.SH,2008-04-10,0.07,427474.44,0.6583,0.52,0.059288574538538974
1988.SH,2008-04-11,-0.01,284992.44,0.4389,0.43,-0.022913083867444506
1988.SH,2008-04-14,-0.19,527647.25,0.8126,0.93,-0.18498154368008723
1988.SH,2008-04-15,0.02,379319.59,0.5842,0.76,0.012696918704535598
1988.SH,2008-04-16,-0.06,181035.53,0.2788,0.4,-0.07386727649705538
1988.SH,2008-04-17,-0.12,336842.28,0.5187,0.94,-0.12053217293837637
1988.SH,2008-04-18,-0.19,398372.3,0.6135,1.16,-0.19872507359121538
1988.SH,2008-04-21,0.09,430044.71,0.6623,1.18,0.07427011821862717
1988.SH,2008-04-22,0.06,474037.25,0.73,1.37,0.048541095064424944
1988.SH,2008-04-23,0.12,712932.35,1.0979,1.96,0.12895897342428508
1988.SH,2008-04-24,0.43,2317787.63,3.5694,4.93,0.4387250735912147
1988.SH,2008-04-25,-0.15,1029423.06,1.5853,1.19,-0.12601284429355264
1988.SH,2008-04-28,-0.09,479326.17,0.7382,0.48,-0.06221966703098314
1988.SH,2008-04-29,0.12,636364.24,0.98,0.63,0.10541243070640327
1988.SH,2008-04-30,0.16,1557578.69,2.3987,1.5,0.15723398201952143
1988.SH,2008-05-05,0.01,934236.72,1.4387,0.78,0.0246977225407381
1988.SH,2008-05-06,-0.09,560627.79,0.8634,0.6,-0.07739878257664845
1988.SH,2008-05-07,-0.17,630904.38,0.9716,0.76,-0.17233040495045682
1988.SH,2008-05-08,0.06,433425.21,0.6675,0.5,0.04725644269338858
1988.SH,2008-05-09,-0.06,513572.0,0.7909,0.62,-0.07095891863331705
1988.SH,2008-05-12,0.01,362670.47,0.5585,0.59,0.01253211814740851
1988.SH,2008-05-13,-0.07,533879.52,0.8222,1.07,-0.07425238354846542
1988.SH,2008-05-14,0.1,526415.54,0.8107,1.06,0.09835770120996568
1988.SH,2008-05-15,-0.05,477211.95,0.7349,1.01,-0.051921978598008955
1988.SH,2008-05-16,-0.03,367792.25,0.5664,0.76,-0.02405953768659508
1988.SH,2008-05-19,-0.04,257713.83,0.3969,0.57,-0.04486252309786565
1988.SH,2008-05-20,-0.14,449643.0,0.6925,1.04,-0.14367443063518426
1988.SH,2008-05-21,0.07,452102.9,0.6962,1.09,0.06211896579125398
1988.SH,2008-05-22,-0.07,294163.44,0.453,0.73,-0.07831664723876663
1988.SH,2008-05-23,0.02,284631.35,0.4383,0.78,0.022954137838643085
