datetime,PC1,PC2,factor_x
2007-01-04,-3.1690309367763416,12.39773020215526,5.63
2007-01-05,3.7858872164744017,8.860474710664654,-0.5599999991097713
2007-01-08,-5.686594946800761,2.5905494059212053,-0.0078960060920865
2007-01-09,-4.958072983864252,2.2585611939215706,0.057443977463536
2007-01-10,1.7590911450579665,7.034146778811916,-0.0757933964264392
2007-01-11,2.4232023171795567,5.699237705769126,-0.1650916969230405
2007-01-12,3.147176298967808,8.103112430219882,-0.211977484535347
2007-01-15,-8.367764933777684,0.5249699190010743,0.2400957012815165
2007-01-16,0.2773994061738099,6.078893421328185,-0.0563760753434268
2007-01-17,0.4176084718084301,5.930943503873668,-0.0418023733434553
2007-01-18,-0.5908637585547738,5.203345665410541,-0.1258946823385001
2007-01-19,-3.172692342167873,1.0592032399947762,0.0812749264087848
2007-01-22,-4.451401475845142,0.6103905157916621,0.1639036044645481
2007-01-23,-6.087127657514182,2.50992682192738,0.1127435573066115
2007-01-24,1.0119320040454949,4.503420750539026,-0.0635362320832992
2007-01-25,3.7360616961389086,6.815497113060496,-0.2450916969272292
2007-01-26,-8.009431068660266,2.917896098307964,0.0452700908231431
2007-01-29,-4.879270635647737,1.0121662196751702,0.1329124991951129
2007-01-30,-0.8496299005379164,3.971399658928713,-0.0302427671681506
2007-01-31,-0.4566056321623709,7.316734767428903,0.0101148792508478
2007-02-01,-3.0603637296140667,3.639242529333684,-0.1130642910857853
2007-02-02,3.93245172224772,7.03846451950507,-0.1937845838823255
2007-02-05,4.852324474008959,8.126946357152312,-0.2549638090099266
2007-02-06,-7.383018267674072,0.5218081639210806,0.1671873434174466
2007-02-07,-0.6431119431123109,4.059680754385702,0.0281512620093078
2007-02-08,0.5538582861796773,3.218022095092636,-0.0340684050216761
2007-02-09,0.569756916332628,2.927131751891568,-0.0586559743152719
2007-02-12,-3.503696798780308,-0.0684152006645882,0.0941053176614996
2007-02-13,0.2052277222080968,2.4560730574137355,-0.0011559058265628
2007-02-14,-4.833247291014814,-0.1931082598178866,0.1176607277144627
2007-02-15,-6.339720120095752,-0.4777394266506387,0.1937845838823264
2007-02-16,-1.4074366130614842,2.8720715612194985,0.0249638090099262
2007-02-26,-5.798130931613679,1.1461375138441845,0.0448994357376903
2007-02-27,3.3732244539452427,11.307084385390462,-0.3582017679879197
2007-02-28,-6.972102122827683,0.0939894597403328,0.1599123074267261
2007-03-01,0.95086094967279,4.1294989950909855,-0.1517297174084699
2007-03-02,-1.8357302664034152,1.2305362759178498,0.058550547071837
2007-03-05,-1.3972133533185347,3.4312377436736554,-0.0382386806277441
2007-03-06,-6.219428936357041,2.0104084186311444,0.162798204616597
2007-03-07,-1.6844055976542849,1.7841321527925469,0.023206630969045
2007-03-08,-2.9584309314686634,0.7296144226229848,0.0329452705035624
2007-03-09,-6.282077439778631,0.5641717731121006,0.1622202517033155
2007-03-12,-1.726154639060019,3.883124789414166,0.0470369948262758
2007-03-13,-1.0605989683001356,3.299952955703809,-0.036366623336014
2007-03-14,0.4281657628236782,3.549102594161316,-0.1186559743152724
2007-03-15,-2.63325888230754,2.031520768116407,0.0620409991802315
2007-03-16,-1.17697409603368,4.115170999947463,0.0132154983041248
2007-03-19,-7.501884545693265,2.6825752495547657,0.2960506155605467
2007-03-20,-3.1111686240480365,2.527388360765935,0.0115096848690248
2007-03-21,-2.779146854297428,2.5433818981415413,0.0422161103719407
2007-03-22,-0.5977100098987832,4.71352904201543,-0.0693118938395764
2007-03-23,-2.694575148877053,3.940865609405544,-0.0408762260185877
2007-03-26,-2.6655076285468,2.484954846443029,0.01326127827903
2007-03-27,-1.1078621179438888,2.792835221298217,-0.0423761849253621
2007-03-28,-7.377212982916272,1.5093535096713284,0.150155933222047
2007-03-29,-9.299668725539366,4.963669168903783,0.3420965051173867
2007-03-30,-1.8766098584485784,4.898749220671507,-0.0968111037011167
2007-04-02,-3.6752113654163865,3.930910652048016,0.1219178372666354
2007-04-03,-4.196572010300224,2.0631800640374096,0.0342476575447596
2007-04-04,-1.463316397759686,4.797743863709765,-0.0509630599646921
2007-04-05,-6.246178621407158,2.3309288425208883,0.0609999726045167
2007-04-06,-2.823705783737529,3.198070491799385,-0.0625321181474092
2007-04-09,-4.7518501158818784,2.576661451496396,0.0425321181474087
2007-04-10,-9.423025764527765,1.4680932115312024,0.2067797756921683
2007-04-11,-4.031797398426789,4.031222266900789,0.0102894057702256
2007-04-12,-2.9054978002522174,4.437544673568717,-0.0339124717996286
2007-04-13,-2.3568484243538776,4.66932787579101,-0.0717202654010575
2007-04-16,-4.828511499322539,2.3872815078323626,0.053761264581289
2007-04-17,-3.8958904722418737,4.634050909215059,-0.0732981909188552
2007-04-18,-2.162285107129779,4.303809735073484,-0.0778119349328028
2007-04-19,-1.1694911643524482,10.667801000114016,-0.2581149340418154
2007-04-20,-4.178331456094493,2.269031484749424,0.0852700908231431
2007-04-23,-6.114107902777625,2.651698118022061,0.1142887115159592
2007-04-24,-1.4293667503817744,4.656614531305196,-0.047866582242789
2007-04-25,-7.767331516473827,3.676969851619819,0.1778946275475323
2007-04-26,-2.1475046608731625,5.251440684024065,-0.0187475342650822
2007-04-27,-0.093628924540117,6.07559329899881,-0.1076648690458368
2007-04-30,-3.211280813823115,3.300914174457968,-0.00566078250543
2007-05-08,-2.55003053881483,4.104012719214704,0.030807126742645
2007-05-09,-12.465225895687457,3.150135542315528,0.4413762123208453
2007-05-10,-5.348255880098008,6.197914492652089,0.0582026266150892
2007-05-11,-5.065302454951147,3.8855745785669855,-0.01491658573552
2007-05-14,-5.314243910529242,4.169938688917337,0.0413440256847277
2007-05-15,1.1194906921291534,9.94669802126604,-0.2824541515363856
2007-05-16,-4.294465018288356,3.3957772243442297,0.0434308048398648
2007-05-17,-3.1872715510388865,4.329321025029839,-0.0097297721994378
2007-05-18,-0.2668505062456945,4.89031577147676,-0.0958255830625578
2007-05-21,-4.143253577204051,3.342512910835978,-0.0626744580306679
2007-05-22,-1.9901952745379077,4.47568553975229,0.0002749538042685
2007-05-23,-3.095533787085377,3.632370515816828,0.0657476164515342
2007-05-24,-3.012910309076001,5.916124913139634,0.0531744443329262
2007-05-25,-1.0347682585587248,4.829525445288225,-0.072917225198819
2007-05-28,-2.650775109794154,4.001673111776383,0.0410779392155395
2007-05-29,-3.2524046481738846,3.5403801512909,0.0552476301492763
